timestamp,action,position,price,price_source,exit_reason,instrument_token,symbol
2025-06-19 12:37:15.889367,ENTRY,SHORT,98468.0,ltp,,116027143,MCX:GOLDM25JULFUT
2025-06-19 13:10:23.184609,EXIT,SHORT,98716.0,live,STOPLOSS,116027143,MCX:GOLDM25JULFUT
2025-06-19 13:10:38.461526,ENTRY,LONG,98758.0,best_ask,,116027143,MCX:GOLDM25JULFUT
2025-06-19 12:37:15.940860,ENTRY,SHORT,344.9,best_bid,,114244103,MCX:NATGASMINI25JUNFUT
2025-06-19 12:37:15.987323,ENTRY,SHORT,106990.0,best_bid,,112787463,MCX:SILVERMIC25JUNFUT
2025-06-19 12:37:16.034070,ENTRY,SHORT,1652.2,best_bid,,14553858,NFO:CDSL25JUNFUT
2025-06-19 12:37:16.080246,ENTRY,SHORT,7845.0,best_bid,,14606594,NFO:MCX25JUNFUT
2025-06-19 12:37:16.130197,ENTRY,SHORT,384.2,best_bid,,14653186,NFO:TATAPOWER25JUNFUT
2025-06-19 12:37:16.435081,ENTRY,SHORT,180.53,ltp,,14585090,NFO:IEX25JUNFUT
2025-06-19 12:37:16.476422,ENTRY,SHORT,1650.0,best_bid,,5420545,NSE:CDSL
